username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TeamJFJ,2016-07-09 06:17,0,1,@BreitbartNews Cut the BS. He was a member temporarily years ago. Nothing to see here. Move on! #DallasPoliceShootings,,@BreitbartNews,#DallasPoliceShootings,751767294439747584,https://twitter.com/TeamJFJ/status/751767294439747584
TheKittyFitz50,2016-07-12 10:26,0,0,#NeverTrump RT toddgillman: .POTUS has arrived at Dallas Love Field #DallasPoliceShooting #DallasStrong #CA #CAPrimary,,,#NeverTrump #DallasPoliceShooting #DallasStrong #CA #CAPrimary,752917143579156480,https://twitter.com/TheKittyFitz50/status/752917143579156480
Lionessess,2016-07-09 12:25,1,0,The latest Lionesses Daily Roar!! http:// paper.li/Lionessess/132 5273101?edition_id=e6502c50-460a-11e6-8b0f-0cc47a0d164b … Thanks to @MarinaMacD @woman_kind #homedecor #dallaspoliceshooting,,@MarinaMacD @woman_kind,#homedecor #dallaspoliceshooting,751859859021266944,https://twitter.com/Lionessess/status/751859859021266944
Aboutofsanities,2016-07-08 18:36,0,0,#NewHillaryConspiracyTheories #FlashbackFriday #FridayReads #DallasPoliceShootings #FoxNews pic.twitter.com/VC7OJQanfR,,,#NewHillaryConspiracyTheories #FlashbackFriday #FridayReads #DallasPoliceShootings #FoxNews,751590932206673920,https://twitter.com/Aboutofsanities/status/751590932206673920
Amrak3000bc,2016-07-08 19:02,0,0,#DallasPoliceShootings If a Cop were guaranteed that their luved would be killed the same way THEY killed. They would be more careful.,,,#DallasPoliceShootings,751597323499646976,https://twitter.com/Amrak3000bc/status/751597323499646976
zalewski_lpc,2016-07-08 08:41,0,2,#Dallas #DallasPoliceShootings #peace pic.twitter.com/YqYD5NWBDl,,,#Dallas #DallasPoliceShootings #peace,751441033163051008,https://twitter.com/zalewski_lpc/status/751441033163051008
19orBust,2016-07-08 09:07,0,0,#DallasPoliceShootings https:// twitter.com/19orBust/statu s/751446395052175361 …,,,#DallasPoliceShootings,751447751632695296,https://twitter.com/19orBust/status/751447751632695296
ESgotdat,2016-07-09 15:41,0,0,#DallasPoliceShootings #ATLMarch #Minnesota #nyc #Chicago #brooklyn,,,#DallasPoliceShootings #ATLMarch #Minnesota #nyc #Chicago #brooklyn,751909075949129728,https://twitter.com/ESgotdat/status/751909075949129728
XxBluebottomsxX,2016-07-08 13:13,0,0,#DallasPoliceShootings Yall sure seem to have so much compassion for these officers but none for our black men and women killed by them.,,,#DallasPoliceShootings,751509519474171904,https://twitter.com/XxBluebottomsxX/status/751509519474171904
Wildchildwendy,2016-07-11 16:49,0,0,cops were assassinated in #DallasPoliceShootings https:// twitter.com/bewittered1/st atus/752650659539869696 …,,,#DallasPoliceShootings,752651137942167552,https://twitter.com/Wildchildwendy/status/752651137942167552
YvonnePelino,2016-07-09 10:40,0,1,Very poignant! Hugs not guns. Police are here to serve and protect not serve and die!! #DallasPoliceShootings https:// twitter.com/marykarrlit/st atus/751560515219025920 …,,,#DallasPoliceShootings,751833399988350976,https://twitter.com/YvonnePelino/status/751833399988350976
Therealdevitri,2016-07-08 20:23,0,0,True #unityindiversity #nohatejustlove #DallasPoliceShooting #peace #HumanLivesMatter https:// twitter.com/foxnews/status /751595912070254592 …,,,#unityindiversity #nohatejustlove #DallasPoliceShooting #peace #HumanLivesMatter,751617655744921600,https://twitter.com/Therealdevitri/status/751617655744921600
JackPolakoff,2016-07-08 11:13,0,0,#DallasPoliceShootings Abortion on demand? Horrors! Guns on demand? Certainly. pic.twitter.com/8vsK3GNEbz,,,#DallasPoliceShootings,751479400399572993,https://twitter.com/JackPolakoff/status/751479400399572993
MeanProgress,2016-07-08 13:22,1,2,#AltonSterling #PhilandoCastile #DallasPoliceShootings COUPONS 410OFF $10 Off Orders $60 420OFF $20 Off Orders $95 https:// twitter.com/BlackLivesGear /status/751499900265705473 …,,,#AltonSterling #PhilandoCastile #DallasPoliceShootings,751511793697107968,https://twitter.com/MeanProgress/status/751511793697107968
Corpulace,2016-07-08 10:29,1,4,#DallasPoliceshooting People need to stop yelling at each other on Twitter and focus on how to stop the hate infesting the nation,,,#DallasPoliceshooting,751468208289263616,https://twitter.com/Corpulace/status/751468208289263616
kkreckman,2016-07-08 18:10,0,2,So happy about the Grace Dallas is showing... #DallasPoliceShooting #UnitedWeStand,,,#DallasPoliceShooting #UnitedWeStand,751584195017715713,https://twitter.com/kkreckman/status/751584195017715713
Lisanne_1998,2016-07-08 09:50,0,0,Speechless #DallasPoliceShootings,,,#DallasPoliceShootings,751458494583304192,https://twitter.com/Lisanne_1998/status/751458494583304192
ezzo24,2016-07-08 17:00,0,0,Second American Civil War is coming ? #DallasPoliceShooting,,,#DallasPoliceShooting,751566659761139712,https://twitter.com/ezzo24/status/751566659761139712
NaomiDTK,2016-07-08 14:38,0,1,when will we all realise that #ALLlivesmatter ? #BLM #DallasPoliceShooting,,,#ALLlivesmatter #BLM #DallasPoliceShooting,751530839293526016,https://twitter.com/NaomiDTK/status/751530839293526016
YahooCanada,2016-07-08 15:06,0,0,Watch live: Officials give update on deadly attack on Dallas police http:// yhoo.it/1qGQUtq #DallasPoliceShooting,,,#DallasPoliceShooting,751537877155188740,https://twitter.com/YahooCanada/status/751537877155188740
WiserInTime,2016-07-08 14:59,0,0,#DallasPoliceShooting #Dallas #BlackLivesMatter Is a terror group. https:// petitions.whitehouse.gov//petition/form ally-recognize-black-lives-matter-terrorist-organization …,,,#DallasPoliceShooting #Dallas #BlackLivesMatter,751536243813576704,https://twitter.com/WiserInTime/status/751536243813576704
LSDRaps,2016-07-08 10:25,0,1,Honestly disgusting what happened in Dallas. If you support this you're part of the problem. #DallasPoliceShootings #DallasStrong,,,#DallasPoliceShootings #DallasStrong,751467208753065984,https://twitter.com/LSDRaps/status/751467208753065984
RobertKFOX14,2016-07-09 07:40,0,0,. @EPPOLICE Chief Greg Allen blames Black Lives Matter group for #DallasPoliceShootings http://kfoxtv.comhttp://kfoxtv.com/,,@EPPOLICE,#DallasPoliceShootings,751788103300296704,https://twitter.com/RobertKFOX14/status/751788103300296704
dalicialafleur,2016-07-08 11:58,1,2,"Sad some of the good 1s got shot, while ppl peacefully gather. we can't afford 2lose any good ones! #StandwithDallas #DallasPoliceShooting",,,#StandwithDallas #DallasPoliceShooting,751490639565512704,https://twitter.com/dalicialafleur/status/751490639565512704
alxdsilva,2016-07-08 16:17,0,0,"Question to #NRA supporters, would #MichaJohnson be able to kill 5 officers if he was carrying only a handgun? #AR15 #assaultweapons",,,#NRA #MichaJohnson #AR15 #assaultweapons,751555801668464644,https://twitter.com/alxdsilva/status/751555801668464644
trenderhub,2016-07-10 05:21,0,0,Dallas Shooting: President Obama Reaction Watch Video: http:// ow.ly/cXJs3025ZEE #trenderhub #DallasPoliceShooting #PrayForDallas,,,#trenderhub #DallasPoliceShooting #PrayForDallas,752115579864113152,https://twitter.com/trenderhub/status/752115579864113152
Jitzchak,2016-07-12 14:58,0,0,"Barack Obama hat die seltene Gabe, ein besonnener, sympathischer Hassprediger zu sein. #DallasPoliceShooting",,,#DallasPoliceShooting,752985399924920321,https://twitter.com/Jitzchak/status/752985399924920321
graisinbrand,2016-07-08 12:19,0,1,Flags are lowered to honor those who tragically lost their lives in yesterdays shooting. pic.twitter.com/mh75sXpm8O #DallasPoliceShootings,,,#DallasPoliceShootings,751496036187721728,https://twitter.com/graisinbrand/status/751496036187721728
ClarissaMoop,2016-07-09 12:38,2,2,this idiot -his comment -proof of his ignorance/stupidity thx social media #stopthehate #DallasPoliceShootings pic.twitter.com/R972TCvwl6,,,#stopthehate #DallasPoliceShootings,751862990799040512,https://twitter.com/ClarissaMoop/status/751862990799040512
