id,nouns
452850172867792896,
452965209603198976,
451537033769390080,
451760337357123585,
672133901670883328,
671156053397004288,
670847549721460737,terrorist
670598063916867585,shooter
672099282078535680,murderer
670418323067109379,
671887603503783936,
671478612772655104,
671092575932149760,suspect
671336353947189249,
672119681658978304,
671810976904163328,
670787441570222080,suspect
670368432626524161,
672180572446449665,
671439676708921344,
672552170089136128,
671713903789907968,
671459127672053760,
670365051124101121,
671665067939618816,
670519327133736960,gunman
670368546602487808,
671790016893460485,
479852362,gunman
361408085287370752,
20415422641,
703441286896947200,
6317297042,
661206732971098112,
343879827713048577,shooter
343747528048652288,shooter
916390496221777920,
915363920247787520,
915388279654031361,
914943475082199040,
914956442532175872,
915356312632008704,
916032234485878784,
915204574767697921,
914878148168134657,
915188234568781824,
916805414041382912,
916410512732168192,
915358609525166080,
916527161120456704,
914997185153875968,
914984372087922690,
915331483912609793,
915001835492188160,
914985654089666562,
915671730965721088,
914983060591992832,
916434233002024962,
914986587779411968,
916045399101771777,
916742762271186944,
916367229066682368,
916803047162044416,gunman
915191540309483521,
914961812549971970,
914958496801738752,
916430453615267840,
916601543780167680,
916572941676171264,
916424976479043584,
916667367387729921,
915290189353902081,
915656348997607424,
915672409600008192,
915110945197662208,
915244082024337408,
915749577898303489,
915336259110789120,
915331717912829952,
915289200622276609,
915362882119806976,
914996960435802113,
915405813174427648,
915682628975710209,
915340371718270976,
915681411402788864,
916757709793488897,
916411478693105664,
915341971983564800,
915723597045469184,
915115641929175041,
916687028640763905,
914984901711196161,
916417912612708353,
915189771403632642,
914999774637625344,
916381738804195328,
916025630701088768,
915696420883222529,
914989200524627969,
916036339694370816,
916029153014681603,guy
916510307207516160,
915354760693338113,
916060065228091393,
914989110363746304,
915739298313510912,
916641162760507393,
916383268236390402,
916090562209398784,
915347308459511808,gunman
914976041059446784,
915694356392112128,
916507699105411074,
916144569175072769,
915689004015726593,
916046070727155712,
915154676269465600,
916077956887465984,
915347063721820160,
916498284713332736,
916415386932928514,
915660198496350208,
916015942156525568,democrat
915696370576773120,
916299192297025536,
914995204792422401,
915632329854353408,
916708235461255172,
916085719826698240,
916054557968519169,
914984693078069248,
914992287796613120,
916716739894890496,
915409273961803776,
915784219632197632,
915702172922388480,
916381698966859782,
915194195014496256,shooter
915372254497710082,gunman
915346534904029184,
915214360879992833,
916620513686052869,
915667744544186368,
916082890923896832,
751487515333304320,
751634710787420160,shooter
751767294439747584,
752917143579156480,
751859859021266944,
751590932206673920,
751597323499646976,
751441033163051008,
751447751632695296,
751909075949129728,
751509519474171904,
752651137942167552,
751833399988350976,
751617655744921600,
751479400399572993,
751511793697107968,
751468208289263616,
751584195017715713,
751458494583304192,
751566659761139712,
751530839293526016,
751537877155188740,
751536243813576704,
751467208753065984,
751788103300296704,
751490639565512704,
751555801668464644,
752115579864113152,
752985399924920321,
751496036187721728,
751862990799040512,
751570560077803520,
751688539000049664,
751716719756881920,
751482360693157889,
751560212029464577,
752355635837018113,
751564637716541440,
751468192862572545,
753178938357100544,
751899396418207744,
751521970999746560,
751761481092304896,
751625952753364992,
751580212144504832,suspect
751553125526429696,
751804594108456960,
751509662177132545,
379912105161261056,
379977471124176896,
379723348030529536,
381174361371459584,
379818265972727808,
379697014923345922,gunman
379897651459682304,
379987658887266305,shooter
380141294561284096,
379710652740538368,
379746695191736320,
379941196665487361,
381293737605079040,
379955498331959296,shooters
381097451761180672,
379739724258107393,
380050527880372224,
379939225962950656,
380836470543503360,
379708097981599744,
380017106789474305,
379705679915024384,shooter
379704647042478081,suspect; dude
379720730919071744,
379958294778875904,
379755792741978113,
380479510225113088,
379705107933167617,
381455477822873601,
379710467452977152,shooter
380881720603852800,
381198026003337216,
381331292463583232,
379744137513156609,
380009024210481152,shooter
379726346030972928,
379713865778335744,
380002107002474496,
379709039552126976,
380355062515499008,
380039575726329856,
381044536102772736,
379722250565332992,
380392138694881280,shooter
381682061079478272,
380110183638130688,shooter
379992599836106752,
379703506711883776,shooter
380647610975260672,
380002590194667520,
379712171929640960,
379932063048024064,terrorist
379914421705125888,
379693453372043264,shooter
381152808227323904,
379988004707659776,
379708330123329536,
380774111967842304,
379743057832591363,
379999130883334144,
379942895823761408,
379961591719944193,
5593541118,
5589850906,terrorist
312185747581067265,suspect
312197832394285056,suspect
312204935343267840,suspect
754840639552966657,suspect
754799743511859202,killer
754897701284773888,
754788232638959616,
755145885277884416,
754837818648637440,muslim
754777589491834880,shooter
755674485961830401,
755044673366863872,killer
754857478731526148,gunman; marine
754779671972065280,
756709875892232192,
754863815569739776,
611652346611773440,shooter
611682091760226304,shooter
612628610592038912,
611981718355099648,
612016657008054272,
612898281375436800,
613071120149823488,
611657990345617408,
613180526594109440,
612699875134844928,
611626139174481920,
612763627569967104,shooter
613421105701912577,
611994193515298816,
613222179195498496,
612627284181258241,
613288173075103744,
611646321628422145,
611677214426443776,
612585518686208000,shooter
612560154052173824,
613443155988492288,
612656873393811456,
611682224065286144,
612667498983337984,
612990348550369280,
611660841830760453,
612384405265387520,
611666890851749888,
612965752069619712,
611633467609124864,
611667871882739714,
611667229491490817,shooter
611684810587828224,piece of shit
612022977085968384,
611641649270276097,
611670104485588996,
611661235139026944,
612887437581287424,
611984699314073608,
612039558692114432,
611627539597955072,
612943740110569472,
612620954288570370,
612623808705507328,
611675295381372929,murderer
612039078826090496,
612877852241993728,
613127651557900288,
612003770495541248,
612330442138652672,
612028116337356800,
613415397849567232,
612844025867931648,
611999409929351168,
611655972877012992,terrorist
613012845031215104,
613438533185880064,
612801713284603904,
612553191016673280,shooter
611672471176146944,
611672314514534400,
612322758068801536,
612747901589168128,
124675318563876865,guy; man
125981570166292480,
779776218770075648,
779534482797830144,supsect
779920960308862976,
779926263129518081,
779662060397457408,
780174998585614336,
780180548664819713,
779736824495345664,guy
779753975562338304,shooter; patriot
779755222822326274,
780202955307945984,killer
779841747559911424,
779991988418416640,
780044312746856450,
779923343243898880,immigrant
780493239384215552,
779946454605586432,
781521977873797120,shooter; non-citizen
779978351872249856,
779727163326992385,bastard
780177184912662528,islamist
780122508729131008,
779591279256580096,shooter
779903648910413824,
780028786196811776,
